dataset,model,lead_time,service_target,z,P,H,total_cost,holding_cost,shortage_cost,service_level,stockout_rate,avg_inventory,reorder_count,n_instances
store_item_demand,Moving Average,3,0.9,1.2816,3,1,1234.8625218896093,232.7615003171604,1002.101021572449,0.3405446428571428,0.6594553571428571,8.312910725612873,26.27075,4000
store_item_demand,Naive,3,0.9,1.2816,3,1,1783.8521841594247,134.95168958322918,1648.9004945761951,0.2179464285714286,0.7820535714285715,4.819703199401041,26.1595,4000
store_item_demand,SARIMA,3,0.9,1.2816,3,1,1327.4662086726337,224.97043161236564,1102.4957770602678,0.3350625,0.6649375,8.0346582718702,26.0275,4000
store_item_demand,SES,3,0.9,1.2816,3,1,1299.968066470739,207.7567941971916,1092.2112722735476,0.3055267857142857,0.6944732142857143,7.419885507042557,26.31925,4000
store_item_demand,Seasonal Naive,3,0.9,1.2816,3,1,1280.3480013322214,247.43076378664043,1032.917237545581,0.3820178571428571,0.6179821428571428,8.836812992380015,26.08825,4000
store_item_demand,TES,3,0.9,1.2816,3,1,1510.522550912435,601.7317994544374,908.7907514579975,0.4991428571428571,0.5008571428571428,21.49042140908705,26.047,4000
m5,ARIMA,3,0.9,1.2816,5,1,113.00217205206458,72.87132030785617,40.13085174420841,0.8543839285714284,0.1456160714285714,2.602547153852006,12.11025,4000
m5,CROSTON,3,0.9,1.2816,5,1,103.44250396716768,70.41711614918395,33.02538781798372,0.8850982142857142,0.1149017857142857,2.514897005327998,11.5425,4000
m5,DES,3,0.9,1.2816,5,1,147.24398829083134,108.05692938543665,39.18705890539469,0.8656428571428572,0.1343571428571428,3.85917604947988,17.35575,4000
m5,LSTM,3,0.9,1.2816,5,1,96.67435660365167,60.8362151735836,35.83814143006808,0.8690714285714286,0.1309285714285714,2.172721970485129,16.74375,4000
m5,Moving Average,3,0.9,1.2816,5,1,97.49861475807396,62.9446672396808,34.553947518393166,0.8792857142857142,0.1207142857142857,2.2480238299886,11.422,4000
m5,Naive,3,0.9,1.2816,5,1,120.01456107779548,71.09399830693252,48.92056277086295,0.8382142857142857,0.1617857142857142,2.5390713681047328,10.62625,4000
m5,SBA,3,0.9,1.2816,5,1,103.77427474736602,60.091721134053614,43.6825536133124,0.8580803571428571,0.1419196428571428,2.146132897644772,11.38325,4000
m5,SES,3,0.9,1.2816,5,1,97.10035177741683,63.77897417487124,33.32137760254559,0.8825892857142855,0.1174107142857142,2.2778205062454013,11.47975,4000
m5,Seasonal Naive,3,0.9,1.2816,5,1,125.39171878017642,94.95293834311384,30.438780437062583,0.9040803571428572,0.0959196428571428,3.3911763693969226,10.03575,4000
m5,TES,3,0.9,1.2816,5,1,189.3433316038389,143.61962692392024,45.72370467991863,0.8549017857142857,0.1450982142857143,5.129272390140009,14.9285,4000
m5,TSB,3,0.9,1.2816,5,1,99.0068749973386,65.70430657952677,33.30256841781184,0.8820357142857144,0.1179642857142857,2.346582377840241,11.398,4000
store_item_demand,ARIMA,3,0.9,1.2816,5,1,2279.8088789935614,192.43435840746503,2087.374520586097,0.2729017857142857,0.7270982142857143,6.872655657409466,26.41725,4000
store_item_demand,DES,3,0.9,1.2816,5,1,1757.6968307015989,454.8012392372575,1302.8955914643414,0.4919196428571428,0.5080803571428572,16.242901401330624,26.29225,4000
store_item_demand,LSTM,3,0.9,1.2816,5,1,2176.411377053545,201.54602608664945,1974.865350966896,0.3066607142857142,0.6933392857142857,7.198072360237479,26.0205,4000
store_item_demand,Moving Average,3,0.9,1.2816,5,1,1902.9298696045755,232.7615003171604,1670.1683692874149,0.3405446428571428,0.6594553571428571,8.312910725612873,26.27075,4000
store_item_demand,Naive,3,0.9,1.2816,5,1,2883.119180543555,134.95168958322918,2748.1674909603253,0.2179464285714286,0.7820535714285715,4.819703199401041,26.1595,4000
store_item_demand,SARIMA,3,0.9,1.2816,5,1,2062.4633933794785,224.97043161236564,1837.492961767113,0.3350625,0.6649375,8.0346582718702,26.0275,4000
