metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
FC-store_item_demand-LSTM-MAE,store_item_demand,LSTM,MAE,7.873164,units,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-LSTM-RMSE,store_item_demand,LSTM,RMSE,10.418785,units,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-LSTM-sMAPE,store_item_demand,LSTM,sMAPE,15.287919,pct,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-LSTM-WAPE,store_item_demand,LSTM,WAPE,0.137654,ratio,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
SF-m5-Moving Average-MASE,m5,Moving Average,MASE,1.345821,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-Moving Average-RMSSE,m5,Moving Average,RMSSE,0.86461,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-Naive-MASE,m5,Naive,MASE,1.54634,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-Naive-RMSSE,m5,Naive,RMSSE,1.122906,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-Seasonal Naive-MASE,m5,Seasonal Naive,MASE,1.526172,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-Seasonal Naive-RMSSE,m5,Seasonal Naive,RMSSE,1.139211,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
